region,sales_rep,total_revenue
East,Ravi Shah,147741.40999999983
East,Liam O'Brien,136488.1899999999
East,Emily Chen,133787.5799999999
South,Maria Gomez,130734.30000000016
South,Chris Evans,126719.33000000003
North,Sam Patel,126510.68000000002
South,Nina Torres,125550.72000000003
West,Priya Nair,124020.10000000014
North,Alex Kim,123667.27999999996
North,Jordan Lee,119779.37000000001
West,Jake Chen,118710.87000000001
West,Sophie Zhang,108727.77
Central,Tyler Brooks,97280.20999999995
Central,Dana Kowalski,94406.02000000002
Central,Marcus Webb,88561.20999999993
